what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534379424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534381075
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1492534381080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534385313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534387444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534394700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534396985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534400274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534401340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1492534401345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534405575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534408290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534409770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534416890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534420529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534423166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534428220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534430879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534438574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534454840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534459432
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1492534468153
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534468746
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1492534468809
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1492534469345
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1492534469610
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1492534469673
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1492534469704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534471738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534479118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1492534486825
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1492534490662
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1492534490727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1492534504565
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1492534505477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534514872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534569800
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1492534572946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534573455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534611927
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1492534615101
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1492534615116
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1492534615179
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1492534615194
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1492534615210
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1492534615262
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1492534615277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534615371
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1492534630967
error,log,,,"Unable to read repository at http://eclipse-color-theme.github.com/update/content.jar.",1492534668432
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1492534697694
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1492534769897
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1492534769919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534824521
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1492534824528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534824801
error,log,,,"An error occurred while collecting items to be installed",1492534869109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534914025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492534914941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492535088869
started,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1492535095933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492535097520
error,log,,,"MarketplaceDiscoveryStrategy failed with an error",1492535126493
error,log,,,"Unexpected exception: null",1492535162027
error,log,,,"Unexpected exception: null",1492535179040
error,log,,,"Unexpected exception: null",1492535573869
error,log,,,"Unexpected exception: null",1492537130746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492537199703
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1492537199712
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1492537199775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492537201889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492537203192
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492537203404
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1492537204157
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1492537204184
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1492537204282
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1492537204307
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1492537204382
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1492537204481
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1492537204482
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1492537204549
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1492537204573
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1492537204586
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1492537204587
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1492537204600
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1492537204640
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1492561352540
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1492561352540
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1492561352540
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1492561352540
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1492561352540
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1492561352540
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1492561352540
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1492561352540
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1492561352540
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1492561352540
